index,gender_1,gender_2,gender_3,gender_4,gender_5,gender_6,gender_7,gender_8,nums_worker,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,round1_1,round1_3,round1_4,round1_5,round1_6,round1_7,round1_8,sequence_pos,sid,round1_2
0,1,0,1,0,-1,-1,-1,-1,4,2,2,1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,1,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,3,3,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,2,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,2,1,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,3,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,1,0,-1,-1,-1,-1,4,2,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,4,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,4,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,3,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,1,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,5,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,4,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,3,3,3,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,6,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,5,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,7,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,6,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,3,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,2,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,7,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,2,1,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,8,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,8,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,3,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,4,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,1,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,9,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,3,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,5,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,4,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,9,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,2,2,3,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,10,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,6,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,10,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,7,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,1,0,-1,-1,-1,-1,4,2,3,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,11,c8291190-4c17-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,11,f45f57c4-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,8,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,9,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,3,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,10,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,2,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,11,e275b4e0-4c17-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,3,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,4,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,4,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,5,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,6,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,7,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,4,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,8,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,9,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,10,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,3,3,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,11,68818e4c-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,3,2,5,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,2,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,0,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,4,2,5,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,2,4,2,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,1,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,3,3,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,2,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,5,4,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,2,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,3,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,3,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,3,4,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,4,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,5,3,3,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,5,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,1,2,3,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,3,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,1,3,3,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,6,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,4,4,2,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,7,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,4,2,5,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,4,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,5,4,4,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,8,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,3,4,3,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,9,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,5,1,2,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,5,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,1,1,0,-1,-1,-1,-1,4,3,4,4,3,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,10,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,1,1,0,-1,-1,-1,-1,4,4,4,3,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,11,f3900670-4c19-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,3,5,5,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,6,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,1,3,5,5,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,7,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,1,1,0,-1,-1,-1,-1,4,4,2,2,2,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,8,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,1,1,0,-1,-1,-1,-1,4,3,1,3,1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,9,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,1,0,-1,-1,-1,-1,4,3,5,2,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,10,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,1,0,-1,-1,-1,-1,4,2,5,2,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,11,f122402a-4c18-11e9-b667-005056a4a701-81861,0
0,0,0,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,ec41b5c2-4c18-11e9-b667-005056a4a701-81861,0
0,1,1,-1,-1,-1,-1,-1,-1,2,3,4,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,ec41b5c2-4c18-11e9-b667-005056a4a701-81861,0
0,1,0,-1,-1,-1,-1,-1,-1,2,1,2,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,2,ec41b5c2-4c18-11e9-b667-005056a4a701-81861,0
