index,display_condition,num_worker,sid
0,2,4,c8291190-4c17-11e9-b667-005056a4a701-81861
0,0,2,e275b4e0-4c17-11e9-b667-005056a4a701-81861
0,0,2,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,0,2,68818e4c-4c18-11e9-b667-005056a4a701-81861
0,0,2,ec41b5c2-4c18-11e9-b667-005056a4a701-81861
0,2,4,f122402a-4c18-11e9-b667-005056a4a701-81861
0,0,4,f3900670-4c19-11e9-b667-005056a4a701-81861
0,0,8,6b5b02c2-4c1a-11e9-b667-005056a4a701-81861
0,1,4,945add32-4c1a-11e9-b667-005056a4a701-81861
0,2,8,94ac2c54-4c1b-11e9-b667-005056a4a701-81861
0,2,2,08230afe-4c1c-11e9-b667-005056a4a701-81861
0,1,4,1977815e-4c1c-11e9-b667-005056a4a701-81861
0,2,2,a6ec175c-4c1c-11e9-b667-005056a4a701-81861
0,2,2,d26b5710-4c1e-11e9-b667-005056a4a701-81861
0,2,2,5e76c1ac-4c21-11e9-b667-005056a4a701-81861
0,0,2,d46bd44a-4c23-11e9-b667-005056a4a701-81861
0,1,8,0ac7a44c-4c24-11e9-b667-005056a4a701-81861
0,2,8,f6585974-4c24-11e9-b667-005056a4a701-81861
0,2,8,e5cc7e08-4c30-11e9-b667-005056a4a701-81861
0,0,2,a173730c-4c39-11e9-b667-005056a4a701-81861
0,1,8,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,2,8,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,2,8,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,2,2,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,0,4,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,0,2,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,2,8,2819f300-4c07-11e9-afa4-005056a4a701-78498
0,1,8,9976a226-4d12-11e9-9643-005056a4a701-126175
0,0,2,50730028-4d13-11e9-9643-005056a4a701-126175
0,1,4,3fe6cec8-4d14-11e9-9643-005056a4a701-126175
0,0,4,01f868d0-4d17-11e9-9eb8-005056a4a701-126935
0,0,2,d80d0016-4d17-11e9-9eb8-005056a4a701-126935
0,0,8,da45d7c2-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,de765312-4d17-11e9-9eb8-005056a4a701-126935
0,1,2,df76ce54-4d17-11e9-9eb8-005056a4a701-126935
0,2,8,e280d5c2-4d17-11e9-9eb8-005056a4a701-126935
0,1,4,e44465ea-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,e4b66e56-4d17-11e9-9eb8-005056a4a701-126935
0,2,8,e6334f88-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,e68b0660-4d17-11e9-9eb8-005056a4a701-126935
0,2,4,e6909706-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,e94513d2-4d17-11e9-9eb8-005056a4a701-126935
0,1,4,e94b11f6-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,e9c76cd8-4d17-11e9-9eb8-005056a4a701-126935
0,2,8,ecd8548c-4d17-11e9-9eb8-005056a4a701-126935
0,1,4,eceb5460-4d17-11e9-9eb8-005056a4a701-126935
0,2,2,ecfb30b0-4d17-11e9-9eb8-005056a4a701-126935
0,0,4,ed375356-4d17-11e9-9eb8-005056a4a701-126935
0,0,2,ef1dd500-4d17-11e9-9eb8-005056a4a701-126935
0,0,8,ef98fb90-4d17-11e9-9eb8-005056a4a701-126935
