index,chosen_icon,icon_1,icon_2,icon_3,icon_4,icon_5,icon_6,icon_7,icon_8,nums_worker,sequence_pos,sid
0,BF-014.jpg,AM-216.jpg,BF-014.jpg,WM-033.jpg,LF-252.jpg,,,,,4,0,c8291190-4c17-11e9-b667-005056a4a701-81861
0,BF-244.jpg,LF-222.jpg,BF-244.jpg,AM-209.jpg,WF-238.jpg,,,,,4,1,c8291190-4c17-11e9-b667-005056a4a701-81861
0,LM-246.jpg,AM-251.jpg,LF-218.jpg,LM-246.jpg,BF-004.jpg,,,,,4,2,c8291190-4c17-11e9-b667-005056a4a701-81861
0,WM-213.jpg,WM-213.jpg,AF-250.jpg,,,,,,,2,0,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,AF-240.jpg,BM-237.jpg,AF-240.jpg,WM-213.jpg,BF-005.jpg,,,,,4,3,c8291190-4c17-11e9-b667-005056a4a701-81861
0,WF-209.jpg,WM-203.jpg,WF-209.jpg,,,,,,,2,1,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,BM-029.jpg,WM-002.jpg,BM-029.jpg,WM-038.jpg,LF-222.jpg,,,,,4,4,c8291190-4c17-11e9-b667-005056a4a701-81861
0,AM-245.jpg,AM-245.jpg,LM-200.jpg,,,,,,,2,2,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,AF-244.jpg,BM-015.jpg,AF-244.jpg,,,,,,,2,3,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,WF-235.jpg,BM-235.jpg,LF-247.jpg,AM-250.jpg,WF-235.jpg,,,,,4,5,c8291190-4c17-11e9-b667-005056a4a701-81861
0,AF-242.jpg,AF-242.jpg,WF-218.jpg,,,,,,,2,0,e275b4e0-4c17-11e9-b667-005056a4a701-81861
0,AM-244.jpg,AM-244.jpg,AF-237.jpg,,,,,,,2,4,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,WM-245.jpg,WF-252.jpg,BF-004.jpg,WM-245.jpg,BF-009.jpg,,,,,4,6,c8291190-4c17-11e9-b667-005056a4a701-81861
0,WM-019.jpg,WM-019.jpg,BF-019.jpg,,,,,,,2,1,e275b4e0-4c17-11e9-b667-005056a4a701-81861
0,LM-231.jpg,LM-231.jpg,LF-214.jpg,,,,,,,2,5,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,AF-227.jpg,LM-219.jpg,AF-227.jpg,,,,,,,2,2,e275b4e0-4c17-11e9-b667-005056a4a701-81861
0,LF-217.jpg,WM-032.jpg,AF-242.jpg,LM-208.jpg,LF-217.jpg,,,,,4,7,c8291190-4c17-11e9-b667-005056a4a701-81861
0,BM-208.jpg,LM-200.jpg,BM-208.jpg,,,,,,,2,6,f45f57c4-4c17-11e9-b667-005056a4a701-81861
0,AF-250.jpg,LF-241.jpg,AF-250.jpg,,,,,,,2,3,e275b4e0-4c17-11e9-b667-005056a4a701-81861
