sid,bonus,average_qansII,num_less_400,error_num,iat_order,num_worker,undstd_Q,IAT_score
2819f300-4c07-11e9-afa4-005056a4a701-78498,2.0,1.7,160,72,2,4,1,0
c8291190-4c17-11e9-b667-005056a4a701-81861,2.0,1.6,74,68,2,4,0,0.74
f45f57c4-4c17-11e9-b667-005056a4a701-81861,2.0,1.6,0,6,2,2,1,-0.31
e275b4e0-4c17-11e9-b667-005056a4a701-81861,2.0,1.7,74,47,2,2,0,-0.6
68818e4c-4c18-11e9-b667-005056a4a701-81861,2.0,1.4,136,88,2,2,0,0.55
f3900670-4c19-11e9-b667-005056a4a701-81861,2.0,1.2,153,76,2,4,0,0.84
f122402a-4c18-11e9-b667-005056a4a701-81861,2.0,1.9,0,11,2,4,0,-0.12
ec41b5c2-4c18-11e9-b667-005056a4a701-81861,2.0,1.8,145,90,2,2,0,-0.08
08230afe-4c1c-11e9-b667-005056a4a701-81861,2.0,1.3,144,81,2,2,1,0.97
945add32-4c1a-11e9-b667-005056a4a701-81861,2.0,1.8,0,9,2,4,1,-0.56
a6ec175c-4c1c-11e9-b667-005056a4a701-81861,2.0,1.3,0,14,2,2,1,-0.07
6b5b02c2-4c1a-11e9-b667-005056a4a701-81861,3.0,2.0,4,53,2,8,1,-0.14
94ac2c54-4c1b-11e9-b667-005056a4a701-81861,2.0,1.4,0,23,2,8,1,-0.21
d26b5710-4c1e-11e9-b667-005056a4a701-81861,2.0,1.2,145,95,2,2,1,-0.76
5e76c1ac-4c21-11e9-b667-005056a4a701-81861,2.0,1.8,0,13,2,2,1,-0.11
1977815e-4c1c-11e9-b667-005056a4a701-81861,2.0,1.9,73,60,2,4,0,0.69
d46bd44a-4c23-11e9-b667-005056a4a701-81861,2.0,1.5,0,35,2,2,0,0.07
f6585974-4c24-11e9-b667-005056a4a701-81861,3.0,2.2,2,20,2,8,1,0.15
0ac7a44c-4c24-11e9-b667-005056a4a701-81861,2.0,1.5,1,20,2,8,1,0.1
e5cc7e08-4c30-11e9-b667-005056a4a701-81861,2.0,1.3,78,37,2,8,0,-2.88
a173730c-4c39-11e9-b667-005056a4a701-81861,2.0,1.7,0,13,2,2,1,-0.36
9976a226-4d12-11e9-9643-005056a4a701-126175,2.0,1.8,157,80,2,8,1,0.58
