sid,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
c8291190-4c17-11e9-b667-005056a4a701-81861,A1829AAPDS2IM9,Female,TX,4 year college degree,Strongly like,Strongly like,strongly female,strongly female,Liberal Arts,Yes,Yes,121233188, 
f45f57c4-4c17-11e9-b667-005056a4a701-81861,A1ODYU3PCKDC0P,Female,NV,Some college,Like,Strongly like,strongly male,strongly female,Science,No,No,442222543, 
e275b4e0-4c17-11e9-b667-005056a4a701-81861,A1K1YOUOJ2P57H,Male,N/A,4 year college degree,Like,Like,slightly male,slightly male,Science,Yes,Yes,223432254, GOOD
68818e4c-4c18-11e9-b667-005056a4a701-81861,A3VQVV99604GHU,Female,IN,2 year college degree,Strongly like,Like,strongly male,neither male nor female,Liberal Arts,Yes,No,321232144, NOTHING
f3900670-4c19-11e9-b667-005056a4a701-81861,A27ODHA3747UVP,Male,N/A,4 year college degree,Strongly like,Like,slightly male,slightly male,Science,Yes,Yes,254344243, good
f122402a-4c18-11e9-b667-005056a4a701-81861,https://worker.mturk.com/projects/3KFTENQ26GXCJLJ7EFVM937KBX0NW8/tasks,Male,NV,4 year college degree,Strongly like,Strongly like,slightly male,slightly female,Math,Yes,No,212131567, NO
ec41b5c2-4c18-11e9-b667-005056a4a701-81861,A1NZ6JTBHVG3VJ,Male,N/A,4 year college degree,Like,Neither like nor dislike,neither male nor female,neither male nor female,Math,Yes,Yes,233313221,good survey.
08230afe-4c1c-11e9-b667-005056a4a701-81861,A19JZV923KJW2E,Female,CA,Master’s degree,Like,Like,moderately male,slightly female,Math,Yes,No,443322412,NICE
945add32-4c1a-11e9-b667-005056a4a701-81861,A3LT7W355XOAKF,Male,MN,4 year college degree,Dislike,Like,slightly male,slightly female,Math,Yes,Yes,221222521, no
a6ec175c-4c1c-11e9-b667-005056a4a701-81861,A1GXFMAC759VRM,Male,GA,Some college,Strongly like,Dislike,neither male nor female,neither male nor female,Math,Yes,Yes,155212565, 
6b5b02c2-4c1a-11e9-b667-005056a4a701-81861,A2D7V4E7TCYOZF,Male,TX,Some college,Like,Strongly like,strongly male,strongly male,Math,Yes,Yes,221112178,good 
94ac2c54-4c1b-11e9-b667-005056a4a701-81861,A125AOX978LDG7,Female,CA,4 year college degree,Strongly like,Strongly like,neither male nor female,neither male nor female,Math,No,No,155552561, I do not.
d26b5710-4c1e-11e9-b667-005056a4a701-81861,,Male,TX,4 year college degree,Like,Like,moderately male,moderately male,Math,Yes,No,224423145, 
5e76c1ac-4c21-11e9-b667-005056a4a701-81861,A2IPO6UJZDIQ91,Male,N/A,4 year college degree,Neither like nor dislike,Like,neither male nor female,neither male nor female,Math,No,No,3412125XX, 
1977815e-4c1c-11e9-b667-005056a4a701-81861,A369HDC6T90Q1H,Male,N/A,4 year college degree,Strongly like,Strongly like,strongly male,slightly male,Math,Yes,No,122323423, GOOD
d46bd44a-4c23-11e9-b667-005056a4a701-81861,ATBBPV37O4K6N,Female,N/A,4 year college degree,Strongly like,Like,slightly female,moderately female,Math,Yes,Yes,231324274, INTERESTING
f6585974-4c24-11e9-b667-005056a4a701-81861,ASI2B6A3Y556Z,Female,TN,4 year college degree,Like,Neither like nor dislike,slightly male,neither male nor female,Math,Yes,Yes,422124521, 
0ac7a44c-4c24-11e9-b667-005056a4a701-81861,A1MSLM87Z8CLTK,Male,NM,4 year college degree,Like,Strongly like,neither male nor female,neither male nor female,Math,Yes,Yes,425222531, 
e5cc7e08-4c30-11e9-b667-005056a4a701-81861,A80ZQS34472ZL,Male,N/A,Master’s degree,Strongly like,Strongly like,strongly male,strongly male,Math,Yes,Yes,5111151XX, nice
a173730c-4c39-11e9-b667-005056a4a701-81861,A2T7GR2Y72FY0K,Female,OR,Some college,Dislike,Strongly like,slightly male,slightly female,Math,No,No,354212522, n/a
2819f300-4c07-11e9-afa4-005056a4a701-78498,zhengzhang,Male,AK,Master’s degree,Strongly Dislike,Like,slightly female,slightly male,Math,No,Yes,333333355, 423423234
2819f300-4c07-11e9-afa4-005056a4a701-78498,zhengzhang,Male,AL,Below High School,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Math,Yes,Yes,333343365, 312312
9976a226-4d12-11e9-9643-005056a4a701-126175,zhengzhang,Male,AK,4 year college degree,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Science,Yes,No,333342355, 312312
50730028-4d13-11e9-9643-005056a4a701-126175,zhengzhang,Male,CA,4 year college degree,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Math,Yes,Yes,223333355, 423423
50730028-4d13-11e9-9643-005056a4a701-126175,zhengzhang,Male,CA,4 year college degree,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Math,Yes,Yes,223333355, 423423
3fe6cec8-4d14-11e9-9643-005056a4a701-126175,zhengzhang,Male,AK,4 year college degree,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Science,Yes,Yes,333432355, 321312321
01f868d0-4d17-11e9-9eb8-005056a4a701-126935,zhengzhang,Male,AR,High School,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Math,Yes,Yes,333333355, 4432432
e68b0660-4d17-11e9-9eb8-005056a4a701-126935,A2KBTDHM44J7X4,Male,VA,4 year college degree,Neither like nor dislike,Strongly like,slightly male,moderately female,Science,No,No,232332354, 
f76dc9b8-4d17-11e9-9eb8-005056a4a701-126935,A1XLGIFFGB01EU,Male,CA,4 year college degree,Dislike,Like,moderately male,strongly female,Math,No,No,421224567, 
efe16dd0-4d17-11e9-9eb8-005056a4a701-126935,A1KRO0JWU6LT0I,Female,NE,2 year college degree,Neither like nor dislike,Like,neither male nor female,neither male nor female,Math,Yes,Yes,444422543, 
f6822120-4d17-11e9-9eb8-005056a4a701-126935,A1Z0VVDFYH9PBW,Female,FL,Some college,Like,Like,moderately male,slightly female,Liberal Arts,No,No,342232543, N/A
f43cd388-4d17-11e9-9eb8-005056a4a701-126935,A3FJE9AUW0O41D,Female,TN,4 year college degree,Like,Strongly like,neither male nor female,neither male nor female,Math,Yes,Yes,434322532, 
df76ce54-4d17-11e9-9eb8-005056a4a701-126935,A2G0NSQK3JI8E6,Male,IA,Some college,Like,Like,slightly male,slightly female,Science,No,No,543422565, no thanks
fedb0a4e-4d17-11e9-9eb8-005056a4a701-126935,,Female,OR,4 year college degree,Neither like nor dislike,Strongly like,slightly male,neither male nor female,Math,No,No,422224579, A3K2ZXAFZCHYZI --there was no blank to enter it in earlier
e6909706-4d17-11e9-9eb8-005056a4a701-126935,AFI00BM3GZMF0,Male,IN,2 year college degree,Strongly like,Like,slightly male,strongly male,Math,Yes,Yes,232232233, 
454dd68c-4d18-11e9-9eb8-005056a4a701-126935,,Female,FL,4 year college degree,Like,Like,slightly male,slightly female,Math,No,No,444411564, 
e4b66e56-4d17-11e9-9eb8-005056a4a701-126935,A4T50ODN6SGNR,Male,MA,Professional Degree,Like,Like,slightly male,neither male nor female,Math,Yes,Yes,244422555, 
015db410-4d18-11e9-9eb8-005056a4a701-126935,AJW3PL5UDH4BP,Male,IL,High School,Like,Like,moderately female,slightly female,Math,No,No,234232546, 
061e13a0-4d18-11e9-9eb8-005056a4a701-126935,A3IFGWZXI17R3D,Male,OR,Some college,Neither like nor dislike,Strongly like,slightly male,slightly female,Math,No,No,222222432, N/A
ef1dd500-4d17-11e9-9eb8-005056a4a701-126935,A24FIMMDV3QAZD,Female,NC,High School,Neither like nor dislike,Neither like nor dislike,neither male nor female,neither male nor female,Math,No,No,333333155, I like it..
f6161ca0-4d17-11e9-9eb8-005056a4a701-126935,A1GV0URJLXH6J8,Male,IN,4 year college degree,Like,Neither like nor dislike,slightly male,slightly male,Other,No,No,234334567, none
185975e6-4d18-11e9-9eb8-005056a4a701-126935,A2OZF756R5JSG4,Female,TX,Master’s degree,Like,Strongly like,slightly male,slightly female,Math,No,No,212221576, none
ed375356-4d17-11e9-9eb8-005056a4a701-126935,A21ZVHZXLALUUU,Male,CA,Master’s degree,Strongly like,Neither like nor dislike,neither male nor female,neither male nor female,Math,No,Yes,444421543, 
ecfb30b0-4d17-11e9-9eb8-005056a4a701-126935,A1EZ1021PEAFQJ,Male,TX,4 year college degree,Like,Like,strongly male,strongly male,Math,No,No,223112346, nice
e44465ea-4d17-11e9-9eb8-005056a4a701-126935,A17TKHT8FEVH0R,Male,IL,Some college,Strongly like,Strongly like,slightly male,neither male nor female,Math,No,Yes,235211534, 
b9f8f462-4d18-11e9-9eb8-005056a4a701-126935,A2UF73T5FVZKMM,Female,WA,Master’s degree,Neither like nor dislike,Strongly like,strongly female,slightly female,Math,Yes,Yes,21342156X, 
de765312-4d17-11e9-9eb8-005056a4a701-126935,AKP3UXJ0TDPVO,Female,FL,4 year college degree,Like,Strongly like,slightly male,slightly female,Math,No,No,442222564, Just would like to know how the workers did.
09202f02-4d18-11e9-9eb8-005056a4a701-126935,A3UHJC4WLQWPAO,Male,NY,4 year college degree,Strongly like,Strongly like,slightly male,slightly male,Math,Yes,Yes,211222288, GOOD TO TAKE THIS STUDY
0696eece-4d18-11e9-9eb8-005056a4a701-126935,AI4AO0O0WIJF7,Female,AZ,High School,Like,Strongly like,neither male nor female,neither male nor female,Math,No,No,545312545, 
3ab7f3f6-4d18-11e9-9eb8-005056a4a701-126935,A2ZNOBR1582SW3,Male,CT,Some college,Strongly like,Neither like nor dislike,slightly male,neither male nor female,Math,No,No,444422556, 
16ec33e2-4d18-11e9-9eb8-005056a4a701-126935,A1A0OTKVK1YXXD,Male,CA,Some college,Neither like nor dislike,Dislike,moderately male,moderately female,Math,No,No,342423564, 
1e058232-4d18-11e9-9eb8-005056a4a701-126935,AIR4UQNPIMFCJ,Prefer not to answer,NY,4 year college degree,Like,Like,neither male nor female,neither male nor female,Math,Yes,No,243333588, No.
fd81c584-4d17-11e9-9eb8-005056a4a701-126935,AXKVHJHF1EOVT,Male,AZ,2 year college degree,Neither like nor dislike,Neither like nor dislike,slightly male,neither male nor female,Math,No,No,344444566,N/a
058b464c-4d18-11e9-9eb8-005056a4a701-126935,A3JGVZEXXELM3C,Male,LA,High School,Like,Like,neither male nor female,neither male nor female,Math,No,No,342222555, no
e280d5c2-4d17-11e9-9eb8-005056a4a701-126935,ATJDYRKPNPTVZ,Male,NY,4 year college degree,Like,Like,neither male nor female,neither male nor female,Math,Yes,Yes,221213299, very nice
da45d7c2-4d17-11e9-9eb8-005056a4a701-126935,A1QO37IHT7ZQBT,Male,MD,4 year college degree,Like,Strongly like,moderately male,slightly female,Math,Yes,Yes,445422522, 
d4a8fd70-4d18-11e9-9eb8-005056a4a701-126935,AY5OS6NZWVX22,Female,AZ,Some college,Like,Strongly like,neither male nor female,neither male nor female,Math,No,Yes,555311543, 
0d9b3496-4d18-11e9-9eb8-005056a4a701-126935,A2UVXSAFUPUT9U,Female,WI,4 year college degree,Neither like nor dislike,Like,neither male nor female,neither male nor female,Other,No,Yes,224222565, No
f6c2c3f6-4d17-11e9-9eb8-005056a4a701-126935,A2NEFRREWF33YP,Female,PA,Master’s degree,Strongly like,Like,neither male nor female,moderately female,Math,No,No,252422533, Thanks for the opportunity!
e9c76cd8-4d17-11e9-9eb8-005056a4a701-126935,A1SRNR4R7D633Q,Female,TX,Master’s degree,Strongly like,Strongly like,strongly female,strongly male,Math,Yes,Yes,11212219X, NICE
b507bba0-4d18-11e9-9eb8-005056a4a701-126935,A1N52WM88S6JXY,Male,IN,Master’s degree,Like,Like,neither male nor female,strongly male,Math,Yes,Yes,343332277, GOOD
c89862b4-4d18-11e9-9eb8-005056a4a701-126935,ATOV0H5KQHI29,Female,KY,High School,Like,Like,slightly male,slightly female,Science,No,No,222221542, 
3ccc9b60-4d18-11e9-9eb8-005056a4a701-126935,A1Y6VYSRVQVLJH,Male,TX,Master’s degree,Like,Like,moderately male,slightly male,Science,Yes,Yes,222122212, yes
f4b1609a-4d17-11e9-9eb8-005056a4a701-126935,A14ADQ7RUN6TDY,Male,OR,Some college,Like,Like,neither male nor female,neither male nor female,Math,No,No,444322533, no
e94513d2-4d17-11e9-9eb8-005056a4a701-126935,ASDOYPL3T2CFL,Male,VA,Master’s degree,Like,Strongly like,neither male nor female,neither male nor female,Math,No,No,144422555, None.
4a53d5a0-4d18-11e9-9eb8-005056a4a701-126935,A3HGIGH1TXUV33,Male,TX,Master’s degree,Like,Strongly like,neither male nor female,neither male nor female,Math,Yes,No,321232287, VERY NICE
22e107d0-4d19-11e9-9eb8-005056a4a701-126935,AEI28C31M00TY,Female,MN,Some college,Like,Neither like nor dislike,slightly male,neither male nor female,Math,Yes,Yes,333222522, n/a
9f14a8ca-4d19-11e9-9eb8-005056a4a701-126935,A3PDHDQZZKCTT5,Female,TX,4 year college degree,Like,Like,slightly male,neither male nor female,Math,No,No,242442543, 
345e0996-4d18-11e9-9eb8-005056a4a701-126935,A3VZA2YUYAOE0K,Male,IN,Master’s degree,Like,Strongly like,strongly male,slightly female,Math,Yes,Yes,2323135XX, good
7aeb9fea-4d18-11e9-9eb8-005056a4a701-126935,A1A6DUWWGNEE4W,Male,N/A,Some college,Like,Strongly like,neither male nor female,neither male nor female,Science,No,No,445222545, 
3e89d8d2-4d18-11e9-9eb8-005056a4a701-126935,AE1YA7Q3UKPRI,Female,CO,4 year college degree,Like,Strongly Dislike,neither male nor female,slightly female,Liberal Arts,No,No,252322533, Fun hit! Different than the other stuff I normally do which is nice. 
fb62bf88-4d17-11e9-9eb8-005056a4a701-126935,A21Y74U3Z2TRP7,Male,TX,Master’s degree,Like,Strongly like,neither male nor female,moderately male,Liberal Arts,Yes,Yes,21232129X, nice
341115fa-4d18-11e9-9eb8-005056a4a701-126935,AN8C141E1IJ4B,Male,CA,4 year college degree,Like,Strongly like,moderately male,slightly female,Science,No,No,321234565, NOTHING
d80d0016-4d17-11e9-9eb8-005056a4a701-126935,A16XS9Z48KAGIC,Male,NV,4 year college degree,Neither like nor dislike,Neither like nor dislike,slightly female,strongly male,Science,Yes,Yes,232323278, good study
e94b11f6-4d17-11e9-9eb8-005056a4a701-126935,AYC1FUXP2CV5G,Male,TN,2 year college degree,Like,Like,moderately male,moderately male,Math,No,No,214212575, 
1e15464a-4d18-11e9-9eb8-005056a4a701-126935,A1LD9ZQ3XTCWUN,Female,IN,4 year college degree,Strongly like,Strongly like,neither male nor female,neither male nor female,Science,Yes,Yes,212223366,GOOD 
16005ada-4d18-11e9-9eb8-005056a4a701-126935,A6OKUCH5O3P2O,Male,IN,4 year college degree,Like,Like,slightly male,slightly male,Science,Yes,Yes,212121278, good very nice
09177f10-4d18-11e9-9eb8-005056a4a701-126935,A1MN0DHHHW8VIL,Female,N/A,Professional Degree,Like,Strongly like,strongly female,moderately female,Science,No,No,434343287, GOOD
2ca3268c-4d18-11e9-9eb8-005056a4a701-126935,A1RU9BQLDZ1DSY,Female,IN,Master’s degree,Like,Like,neither male nor female,neither male nor female,Science,Yes,No,323323399, no
f81ed302-4d17-11e9-9eb8-005056a4a701-126935,A2HWC65YAL6MHK,Male,IN,4 year college degree,Like,Strongly like,slightly male,slightly male,Liberal Arts,Yes,Yes,23222359X, 
fce716c4-4d17-11e9-9eb8-005056a4a701-126935,A2FT2U8754LPG5,Male,N/A,4 year college degree,Like,Strongly like,neither male nor female,strongly female,Math,No,No,122121457, no
2c96ec4e-4d1a-11e9-9eb8-005056a4a701-126935,A35FW9RNS1IO9U,Male,TX,4 year college degree,Strongly like,Like,strongly male,strongly male,Math,Yes,Yes,221341569, no comments
365cb17e-4d19-11e9-9eb8-005056a4a701-126935,A2KLNIZIZ1M90C,Female,CT,Master’s degree,Strongly like,Strongly like,moderately male,moderately female,Liberal Arts,Yes,Yes,1121223X9, GOOD STUDY
eceb5460-4d17-11e9-9eb8-005056a4a701-126935,A3U6E4LSP66ORC,Male,IN,4 year college degree,Strongly like,Like,strongly male,moderately male,Science,Yes,Yes,132313279, good survey...
c6bb147c-4d19-11e9-9eb8-005056a4a701-126935,AFDOCG0RZGSXU,Female,N/A,2 year college degree,Like,Neither like nor dislike,slightly male,slightly male,Math,Yes,Yes,32223359X, thank you
4d89e8da-4d19-11e9-9eb8-005056a4a701-126935,A2ZX5TLZPAQ2XD,Female,IN,Professional Degree,Strongly like,Strongly like,strongly female,strongly male,Liberal Arts,No,No,1212121X9, GOOD
a0f6d54a-4d1a-11e9-9eb8-005056a4a701-126935,A22RI3CII7Y31F,Male,KY,Master’s degree,Strongly like,Like,strongly male,strongly male,Math,Yes,Yes,223312368, NICE
43780cec-4d18-11e9-9eb8-005056a4a701-126935,AZE7YSINS9UNZ,Male,AK,4 year college degree,Neither like nor dislike,Strongly like,neither male nor female,moderately female,Science,No,No,222324579, nice
87375652-4d1a-11e9-9eb8-005056a4a701-126935,A1KJPSPWVV9M2P,Male,AL,4 year college degree,Like,Neither like nor dislike,moderately male,slightly male,Math,Yes,No,221222277, GOOD TO TAKE THIS STUDY
c58cffa6-4d1a-11e9-9eb8-005056a4a701-126935,A1YSYI926BBOHW,Male,CA,4 year college degree,Like,Strongly like,moderately male,slightly female,Math,Yes,Yes,255421542, 
37a3b538-4d18-11e9-9eb8-005056a4a701-126935,A10I4XP63D6GG,Female,TX,Master’s degree,Like,Like,slightly male,slightly male,Math,No,No,222222289, good
6fa21832-4d1b-11e9-9eb8-005056a4a701-126935,A34XHAO8B9KTIM,Female,TX,Master’s degree,Strongly like,Like,moderately female,strongly female,Math,Yes,Yes,1212112X9,NICE 
dd7617f2-4d19-11e9-9eb8-005056a4a701-126935,A301K9WNOGYXYG,Female,TX,2 year college degree,Strongly like,Like,neither male nor female,neither male nor female,Math,No,No,344212565, 
ecd8548c-4d17-11e9-9eb8-005056a4a701-126935,A26MN6JIKD4NXU,Female,IN,4 year college degree,Strongly like,Strongly like,slightly male,neither male nor female,Math,Yes,Yes,212232177, 
fd91dcb4-4d1a-11e9-9eb8-005056a4a701-126935,A19CB2C4GY4C60,Male,GA,Some college,Like,Neither like nor dislike,slightly male,neither male nor female,Math,No,No,224224533, No.
783de814-4d1a-11e9-9eb8-005056a4a701-126935,A15CCQOQIM1OY8,Male,CA,Some college,Like,Strongly like,slightly male,slightly male,Math,Yes,Yes,212121213, good
d8866fa2-4d1a-11e9-9eb8-005056a4a701-126935,AKU74MWXAV0D4,Female,N/A,4 year college degree,Like,Like,neither male nor female,neither male nor female,Science,No,No,222222345, good
25ea4a3c-4d18-11e9-9eb8-005056a4a701-126935,A3QQOONKQ4MHDQ,Male,IN,4 year college degree,Strongly like,Strongly like,strongly male,strongly male,Math,Yes,Yes,2321232X9, GOOD FEEL THIS SURVEY....
4cdd5f92-4d1a-11e9-9eb8-005056a4a701-126935,A2Q8PJ2NY0DJO5,Male,AL,2 year college degree,Dislike,Like,moderately male,slightly male,Science,Yes,Yes,454545499, good to take this survey
f57c9f82-4d1a-11e9-9eb8-005056a4a701-126935,A15BJX76P84MHQ,Male,NY,Some college,Like,Neither like nor dislike,slightly male,neither male nor female,Math,Yes,Yes,32123325X, its good
8f21f368-4d1a-11e9-9eb8-005056a4a701-126935,A2DNLHS1RSTF5R,Female,IL,Master’s degree,Like,Strongly like,neither male nor female,slightly female,Math,Yes,No,211221569, no
893d5014-4d1a-11e9-9eb8-005056a4a701-126935,AMZ59DGY7I2ZI,Female,OR,Some college,Strongly like,Strongly like,neither male nor female,neither male nor female,Math,No,No,233211542, Nope
8c678b60-4d1a-11e9-9eb8-005056a4a701-126935,ADYMIMV1PE14V,Female,LA,4 year college degree,Like,Neither like nor dislike,strongly male,slightly female,Math,No,No,244411542, 
4d8dcc80-4d18-11e9-9eb8-005056a4a701-126935,A39OJ454OKF941,Female,CA,4 year college degree,Like,Strongly like,moderately male,strongly female,Science,Yes,No,332434497, Super survey
96e476ee-4d19-11e9-9eb8-005056a4a701-126935,A2EL6CXCGP4OB0,Female,N/A,Master’s degree,Like,Like,slightly female,slightly male,Science,Yes,No,222223587, no
19cef23e-4d18-11e9-9eb8-005056a4a701-126935,A167MFUB0GHMA2,Male,IN,4 year college degree,Strongly like,Strongly like,strongly male,strongly female,Math,Yes,Yes,122121599,good to improve the knowledge 
3da55bb2-4d18-11e9-9eb8-005056a4a701-126935,AFASY2VX8PADR,Male,N/A,4 year college degree,Strongly like,Like,slightly female,neither male nor female,Math,Yes,Yes,231322176,good 
cfc9ea1e-4d1b-11e9-9eb8-005056a4a701-126935,A1N53V41FMCR7Q,Male,CA,4 year college degree,Neither like nor dislike,Like,neither male nor female,neither male nor female,Math,No,No,3222234XX, NO
8efd6628-4d1b-11e9-9eb8-005056a4a701-126935,A16UL5C1DET39J,Female,N/A,Master’s degree,Like,Strongly like,neither male nor female,neither male nor female,Science,No,No,243233477, nice
