sid,s1,s2,s3,s4,s5,s6,s7,s8,id1,id2,id3,id4,id5,id6,id7,id8,response,selected_id,hide_preHist,show_dist,worker_qansII,response_time,sequence_pos,stay_time,pastPfrm1,pastPfrm2,pastPfrm3,pastPfrm4,pastPfrm5,pastPfrm6,pastPfrm7,pastPfrm8
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Female,Male,Female,Female,Female,Female,Female,54,21,101,73,1404,1404,1404,1404,2,21,Yes,1,1,2019-03-21 15:31:39.592747,0,0:00:36.803574,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Female,Female,Male,Female,Female,Female,Female,Female,63,65,104,75,1404,1404,1404,1404,2,65,Yes,1,3,2019-03-21 15:32:00.078197,1,0:00:15.913558,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Female,Male,Female,Female,Female,Female,Female,49,73,101,75,1404,1404,1404,1404,3,101,Yes,1,1,2019-03-21 15:32:13.439281,2,0:00:10.603633,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Female,Male,Female,Female,Female,Female,Female,100,28,58,61,1404,1404,1404,1404,2,28,Yes,1,1,2019-03-21 15:32:24.360969,3,0:00:08.836871,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Male,Male,Female,Female,Female,Female,Female,3,87,106,15,1404,1404,1404,1404,2,87,Yes,1,3,2019-03-21 15:32:35.819084,4,0:00:09.870540,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Female,Male,Female,Female,Female,Female,Female,23,2,43,81,1404,1404,1404,1404,4,81,Yes,1,0,2019-03-21 15:32:56.917783,5,0:00:17.878462,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Female,Female,Male,Female,Female,Female,Female,Female,9,79,23,11,1404,1404,1404,1404,3,23,Yes,1,2,2019-03-21 15:33:10.619241,6,0:00:11.382396,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Female,Male,Female,Female,Female,Female,Female,12,68,97,61,1404,1404,1404,1404,4,61,Yes,1,1,2019-03-21 15:33:22.015596,7,0:00:09.821747,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Female,Female,Male,Female,Female,Female,Female,Female,77,80,93,35,1404,1404,1404,1404,3,93,Yes,1,1,2019-03-21 15:33:36.746828,8,0:00:11.976684,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Female,Male,Female,Female,Female,Female,Female,98,50,34,79,1404,1404,1404,1404,2,50,Yes,1,1,2019-03-21 15:33:47.653128,9,0:00:09.317662,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Female,Female,Male,Female,Female,Female,Female,Female,36,2,41,20,1404,1404,1404,1404,4,20,Yes,1,3,2019-03-21 15:33:59.681516,10,0:00:10.604802,0,0,0,0,-1,-1,-1,-1
c8291190-4c17-11e9-b667-005056a4a701-81861,Male,Male,Male,Female,Female,Female,Female,Female,54,3,34,62,1404,1404,1404,1404,4,62,Yes,1,2,2019-03-21 15:34:11.657312,11,0:00:10.413372,0,0,0,0,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Female,Female,Female,Female,Female,Female,Female,Female,52,35,1404,1404,1404,1404,1404,1404,1,52,Yes,0,1,2019-03-21 15:32:58.439078,0,0:00:22.452744,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Female,Female,Female,Female,Female,Female,Female,101,80,1404,1404,1404,1404,1404,1404,1,101,Yes,0,1,2019-03-21 15:33:14.322758,1,0:00:10.852141,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Female,Female,Female,Female,Female,Female,Female,106,80,1404,1404,1404,1404,1404,1404,2,80,Yes,0,0,2019-03-21 15:33:21.840602,2,0:00:05.622075,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Female,Female,Female,Female,Female,Female,Female,Female,51,5,1404,1404,1404,1404,1404,1404,2,5,Yes,0,0,2019-03-21 15:33:32.823097,3,0:00:08.371835,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Male,Female,Female,Female,Female,Female,Female,100,14,1404,1404,1404,1404,1404,1404,2,14,Yes,0,4,2019-03-21 15:33:45.367282,4,0:00:07.971976,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Female,Female,Female,Female,Female,Female,Female,Female,55,5,1404,1404,1404,1404,1404,1404,1,55,Yes,0,2,2019-03-21 15:33:53.838575,5,0:00:06.359496,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Female,Female,Female,Female,Female,Female,Female,33,71,1404,1404,1404,1404,1404,1404,1,33,Yes,0,4,2019-03-21 15:34:03.212571,6,0:00:07.030478,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Female,Female,Female,Female,Female,Female,Female,100,26,1404,1404,1404,1404,1404,1404,2,26,Yes,0,1,2019-03-21 15:34:11.376747,7,0:00:06.074005,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Female,Female,Female,Female,Female,Female,Female,41,11,1404,1404,1404,1404,1404,1404,1,41,Yes,0,2,2019-03-21 15:34:19.190636,8,0:00:05.611831,0,0,-1,-1,-1,-1,-1,-1
e275b4e0-4c17-11e9-b667-005056a4a701-81861,Male,Female,Female,Female,Female,Female,Female,Female,43,7,1404,1404,1404,1404,1404,1404,1,43,Yes,0,2,2019-03-21 15:34:30.686273,9,0:00:09.154421,0,0,-1,-1,-1,-1,-1,-1
